Date,VALE3 BS Equity,PETR4 BS Equity,ITUB4 BS Equity,BBDC4 BS Equity,B3SA3 BS Equity,PETR3 BS Equity,ABEV3 BS Equity,WEGE3 BS Equity,ITSA4 BS Equity,JBSS3 BS Equity,BBAS3 BS Equity,SUZB3 BS Equity,RENT3 BS Equity,BPAC11 BS Equity,GGBR4 BS Equity,EQTL3 BS Equity,LREN3 BS Equity,CSAN3 BS Equity,VBBR3 BS Equity,RADL3 BS Equity,BBDC3 BS Equity,NTCO3 BS Equity,VIVT3 BS Equity,RAIL3 BS Equity,MGLU3 BS Equity,PRIO3 BS Equity,BRFS3 BS Equity,TOTS3 BS Equity,KLBN11 BS Equity,AMER3 BS Equity,ENEV3 BS Equity,SBSP3 BS Equity,BBSE3 BS Equity,CSNA3 BS Equity,CMIG4 BS Equity,HYPE3 BS Equity,UGPA3 BS Equity,CCRO3 BS Equity,ELET3 BS Equity,SANB11 BS Equity,ENGI11 BS Equity,CPLE6 BS Equity,BRKM5 BS Equity,TIMS3 BS Equity,EGIE3 BS Equity,EMBR3 BS Equity,SULA11 BS Equity,TAEE11 BS Equity,ELET6 BS Equity,CRFB3 BS Equity,LCAM3 BS Equity,BRAP4 BS Equity,GOAU4 BS Equity,AZUL4 BS Equity,BRML3 BS Equity,MRFG3 BS Equity,USIM5 BS Equity,MULT3 BS Equity,VIIA3 BS Equity,YDUQ3 BS Equity,CPFE3 BS Equity,ALPA4 BS Equity,COGN3 BS Equity,ENBR3 BS Equity,FLRY3 BS Equity,CYRE3 BS Equity,QUAL3 BS Equity,IRBR3 BS Equity,DXCO3 BS Equity,PCAR3 BS Equity,CVCB3 BS Equity,CIEL3 BS Equity,BPAN4 BS Equity,MRVE3 BS Equity,BEEF3 BS Equity,GOLL4 BS Equity,ECOR3 BS Equity,JHSF3 BS Equity,EZTC3 BS Equity,POSI3 BS Equity
7-03-2018,42.85,21.67,28.503,24.324,8.717,23.36,23.07,8.681,11.861,9.41,43.19,21.96,25,5.65,16.73,14.54,28.595,11.035,22.3,15.936,23.322,16.704,44,13.5,2.813,1.207,25.16,10.05,18.17,24.473,3.388,37.75,29.05,9.05,7.116,36.5,36.46,12.27,23.641,35.45,33.897,2.506,46.66,14.52,31.248,21.43,19.854,20.45,27.09,15.22,9.967,13.196,7.81,33.4,11.72,5.78,11.27,22.897,7.6,31.42,24.17,13.544,15.12,13.59,28.77,15.41,28.7,12.269,10.227,17.998,49.208,23.9,1.88,13.568,8.58,18.6,8.71,1.65,20.444,3.53
8-03-2018,41.46,21.7,28.305,24.005,8.697,23.39,23.3,8.635,11.784,9.35,43.42,22.76,26.333,5.723,16.03,14.6,28.636,10.888,21.74,15.76,22.946,16.624,44.52,13.33,2.758,1.238,25.03,9.967,18.32,22.141,3.375,37.63,28.8,8.59,7.314,37.14,36.36,12.35,23.221,35.324,34.396,2.559,46.64,14.45,31.288,20.75,20.178,20.45,26.31,14.93,10.167,12.753,7.61,35,11.72,5.76,11.03,22.88,7.5,31.7,24.2,13.736,14.62,13.57,28.96,15.06,27.32,12.476,10.027,17.998,50.275,23.85,1.9,13.577,8.66,19.35,8.77,1.86,20.51,3.6
9-03-2018,42.1,22.39,28.696,24.518,9,24,23.44,8.846,11.887,9.77,43.71,23.14,28,5.74,16.13,14.34,29.603,11.285,21.95,15.96,23.479,16.709,45.4,13.4,2.834,1.356,26.56,9.883,18.32,22.974,3.393,38.1,29.47,8.93,7.21,37,37.14,12.49,23.891,35.682,34.117,2.611,47.8,14.64,31.32,22.2,20.576,20.7,26.94,15.11,10.69,12.925,7.57,36.5,11.87,5.99,11.18,23.133,7.66,31.61,24.46,13.624,14.55,13.75,28.74,15.27,26.81,13.015,10.245,17.998,51.551,22.98,1.9,14.022,8.82,20.72,9.09,1.81,20.543,3.61
12-03-2018,42.46,22.33,29.02,24.712,8.99,23.9,23.98,8.808,12,10.18,43.48,22.11,28.286,5.738,16.4,14.5,29.686,11.195,22.2,15.732,23.76,16.654,43.35,13.56,2.893,1.32,26.92,10,18.55,23.562,3.383,37.87,29.43,9.02,7.279,37.3,36.74,12.5,24.871,36.08,34.495,2.688,48.2,14.69,31.496,21.97,20.853,20.89,28.15,15.37,10.993,13.106,7.66,37.17,11.82,6.07,11.35,23.1,7.71,32.01,24.57,14.184,14.68,13.92,28.61,15.5,26.67,13.298,10.445,17.998,51.65,22.85,1.93,14.34,8.52,21.6,8.94,1.76,21.046,3.67
13-03-2018,42.13,22.11,28.784,24.355,8.97,23.67,23.96,8.731,11.922,10.4,42.85,22.75,27.429,5.65,16.29,14.224,29.314,10.825,22.45,15.924,23.422,16.649,42.89,13.45,2.861,1.27,26.97,9.937,18.99,23.356,3.39,38.36,29.04,8.87,7.055,37.45,36.47,12.74,24.471,35.576,34.475,2.703,47.92,14.7,30.8,21.72,21.001,20.7,27.6,14.9,10.833,13.061,7.62,37.18,11.76,6.1,11.24,23.01,7.77,33.1,24.51,14.224,14.91,13.77,27.96,15.37,26.82,13.43,10.764,17.998,51.741,23.3,1.97,14.74,8.74,21.62,8.93,1.75,20.567,3.77
14-03-2018,42.6,22.38,28.14,24.224,8.813,23.61,24.27,8.865,11.801,10.13,42.48,24,27.01,5.5,16.05,14,29.231,10.818,22.63,15.802,23.291,16.309,42.93,13.58,2.803,1.246,26.41,9.807,19,23.513,3.378,38.13,28.77,8.81,6.892,37.67,36.435,12.65,22.791,36.002,33.897,2.66,47.21,14.74,30.64,21.12,20.52,20.6,25.57,14.82,10.917,13.061,7.64,37,11.81,6.01,11.34,22.833,7.52,33.7,24.3,14.28,15.08,13.6,27.16,15.25,25.96,13.184,10.391,17.998,51.578,22.95,1.96,15.131,8.55,20.91,8.85,1.76,20.229,3.74
15-03-2018,42.4,21.31,28.272,23.873,8.667,23.12,23.88,8.885,11.749,9.8,42.39,23.4,26.752,5.45,15.54,13.83,29.298,10.69,22.9,15.58,22.765,16.284,42.64,13.35,2.844,1.23,25.27,9.883,18.67,24.884,3.375,37.91,27.94,8.53,7.064,36.96,35.925,12.13,22.691,35.934,33.399,2.679,47.26,14.69,30.392,20.82,20.715,20.6,25.45,14.94,10.927,13.093,7.43,36.82,11.55,5.65,11.14,22.43,7.89,33.4,24.07,13.992,14.91,13.68,27.28,15.15,24.91,12.796,10.318,17.998,51.469,21.92,1.93,14.904,8.4,21.1,8.76,1.73,20.006,3.35
16-03-2018,42.3,21.43,28.157,23.936,8.583,23.37,23.61,8.923,11.636,9.62,42.4,28.5,26.381,5.55,15.45,13.776,29.132,10.928,22.59,15.296,22.871,16.329,42.44,13.42,2.897,1.2,25,9.957,18.73,25.668,3.413,38.37,28.15,8.51,7.141,37.6,35.5,12.2,22.302,36.467,32.701,2.755,48.5,14.63,30.712,20.78,20.826,20.8,25.4,15.04,10.81,13.196,7.39,36.41,11.23,5.65,11.15,22.097,7.97,36.4,24.01,13.984,14.53,13.5,27.48,15.07,22,12.491,9.991,17.998,52.5,22.17,1.96,15.04,8.4,21.57,8.64,1.77,19.635,3.39
19-03-2018,41.1,20.93,27.552,23.691,8.52,22.59,23.79,8.927,11.515,9.77,41.4,30.6,26.181,5.625,15.03,13.72,28.512,10.645,22.53,15.48,22.746,16.299,42.2,13.07,2.834,1.26,25,9.927,18.82,26.314,3.413,38.42,28.05,8.26,7.322,36.95,35.49,12.14,22.232,36.186,33.07,2.739,47.53,14.39,30.88,20.59,20.826,20.72,25.12,15.15,10.617,12.733,7.17,36.38,11.15,5.58,10.6,22.333,7.91,35.99,23.95,14,14.5,13.49,27.47,14.95,22.8,12.907,10.055,17.998,51.017,22.55,1.9,14.704,8.32,20.92,8.63,1.71,19.346,3.41
20-03-2018,41.6,21.16,27.64,23.666,8.687,22.89,23.69,8.858,11.515,9.71,41.56,30.45,25.857,5.6,15.74,13.682,28.182,10.525,22.42,15.476,22.708,15.889,41.59,13.09,2.813,1.3,24.5,9.883,19,27.167,3.413,38.12,28.15,8.42,7.322,36.15,35.23,12,22.142,36.486,33.349,2.725,47.42,14.56,31.04,20.44,20.826,20.38,25.5,14.92,10.27,12.917,7.42,36.68,11.2,5.53,10.95,22.217,7.66,36.5,23.76,13.76,14.58,13.55,26.94,14.9,23.9,13.092,9.973,17.998,52.283,22.98,1.91,14.522,8.2,20.83,8.37,1.74,19.33,3.39
