Date,RIPLEY CC Equity,ECL CC Equity,IAM CC Equity,FALAB CC Equity,QUINENC CC Equity,ENELCHIL CC Equity,CHILE CC Equity,CMPC CC Equity,COLBUN CC Equity,COPEC CC Equity,ENTEL CC Equity,ANDINAB CC Equity,CONCHA CC Equity,CAP CC Equity,ITAUCORP CC Equity,BSAN CC Equity,SONDA CC Equity,SECUR CC Equity,BCI CC Equity,VAPORES CC Equity,AGUAS/A CC Equity,PARAUCO CC Equity,CENCOSUD CC Equity,SMU CC Equity,CCU CC Equity,SQM/B CC Equity,ENELAM CC Equity
7-03-2018,617.81,1320,1130.6,5991.7,1971,75.23,100.266,2222.1,143.72,9622.3,7099.8,2932.7,1251.2,7411.1,5.483,48.92,1194.8,308.46,37889.38,26.761,397.77,1900,1841.8,186,8552.7,29556.24,137.69
8-03-2018,618.66,1327.5,1126.5,5960.5,1971.1,76.03,100.657,2258.1,143.45,9661,7109.3,2952.2,1247,7404.2,5.446,49.13,1201,302.5,38487.19,26.396,399.65,1860,1842.5,186,8556.1,30185.76,137.36
9-03-2018,629.68,1350,1140.1,6005.7,1980,76.9,100.599,2285.6,146.8,9849.4,7097.7,2960,1234.9,7455.2,5.47,49.74,1229.3,305.63,39386.93,26.396,403.92,1865,1855.1,189.99,8625.2,30676.38,137.9
12-03-2018,644.25,1342.4,1155,6040.8,1980,77.01,100.97,2315.7,147.23,9733.1,7130.8,2959.7,1248.9,7312.9,5.561,50.17,1211.1,311,39842.81,26.546,403.4,1859.8,1850.2,185.88,8724.9,30505.94,137.87
13-03-2018,629.65,1357.5,1151.9,5845.4,1980,76.14,100.501,2339.6,143.95,9805.2,6987.4,2945,1257,7291.5,5.546,50.06,1225,310,39458.32,25.909,403.32,1842.1,1849.6,187.01,8723.1,30287.24,138.97
14-03-2018,616.97,1354.1,1135.2,5854,2020,76.73,100.354,2323.1,145.18,9731.7,6921.7,2953.1,1290,7629.8,5.461,49.97,1210.3,309.73,39804.97,25.44,397.73,1839.3,1842.5,189.36,8631.3,29985.77,139.14
15-03-2018,615,1355.2,1124.2,5846.1,2011.4,76.62,101.635,2322.5,145,9650.5,6864.8,2939.8,1272.7,7497,5.482,50.04,1208.6,307.1,39190.81,25.59,394.98,1862.9,1819,191,8576.3,29323.73,139.23
16-03-2018,617.25,1331.6,1133.3,5777.2,2019.6,77.64,102.897,2276.4,143.7,9735.1,6876.9,2956.6,1250.6,7465.6,5.48,50.66,1214,311.42,38543.1,26.077,393.39,1867.4,1836.7,192.34,8603.4,29237.04,139.75
19-03-2018,617.01,1332.6,1123.7,5802.4,2019.6,77.72,99.816,2289.3,141.4,9659.3,6833.1,2949.7,1233.4,7412.1,5.464,50.41,1194.8,310.69,38776.21,25.3,392.63,1833.1,1847.9,189.5,8860.2,28515.89,139.37
20-03-2018,616.17,1310.1,1118.4,5797.9,2020,76.61,98.623,2286.7,142.14,9514.6,6867.4,2958.4,1226.9,7297.1,5.524,50.34,1192,306.72,38770.19,24.681,390.99,1835.9,1826.6,188.1,8888,28650.86,136.99
21-03-2018,614.26,1305.5,1122.1,5808,2030,74.77,98.691,2310.9,143.17,9439.3,6876.9,2955.5,1219,7372.5,5.56,50.02,1191.1,309,39029.1,24.419,392.36,1842,1826.6,189.99,8888.4,28310.97,138.57
22-03-2018,605.5,1308.2,1113.3,5788.7,2019,75.42,98.554,2304.7,142.73,9368.5,6803.4,2941,1220.7,7147.4,5.472,49.84,1177.4,309.88,38162.91,24.615,391.95,1823.7,1820.1,189.22,8848.7,28533.62,137.86
23-03-2018,609.79,1277.5,1113.3,5762,2020,75.46,97.811,2284.3,142.69,9315.8,6769.6,2917.3,1228.6,7120.4,5.434,49.45,1150.2,305.01,38043.35,24.84,393.31,1813.2,1816.7,190.94,8876.5,28950.35,136.66
26-03-2018,600.87,1283.3,1110.1,5776.1,2000,75.59,97.214,2251,138.37,9335,6760.1,2891.1,1215,6976.4,5.41,48.98,1151.7,291,37345.76,24.953,391.03,1818.4,1816.8,186.98,8674.2,28337.57,136.71
27-03-2018,608.61,1280.3,1106.1,5817.8,2000,76.8,96.862,2281.8,138.71,9446.4,6783.9,2915.2,1224.8,6826.3,5.407,49.37,1175.2,295.71,37493.7,25.056,391.68,1822.9,1815.6,185.31,8646.9,28695.19,138.4
28-03-2018,609.45,1279.9,1097.3,5806,2000.1,77.72,97.351,2284.3,139.31,9468.3,6799.9,2955.8,1287.3,6620.3,5.38,50.05,1156.5,297,37274.36,25.328,392.04,1829.1,1822.5,187,8665.7,27968.13,137.89
29-03-2018,622.62,1325.6,1110.9,5823.3,2029,78.23,99.249,2299.3,144.71,9480.2,6928.1,2963.6,1305.6,6855,5.374,50.88,1172.4,304.97,38534.5,24.578,392.83,1819.4,1848,185,8885.1,28961.19,140.98
30-03-2018,622.62,1325.6,1110.9,5823.3,2029,78.23,99.249,2299.3,144.71,9480.2,6928.1,2963.6,1305.6,6855,5.374,50.88,1172.4,304.97,38534.5,24.578,392.83,1819.4,1848,185,8885.1,28961.19,140.98
2-04-2018,620,1309.6,1102.1,5799.7,2036.3,76.83,98.828,2278.2,143.55,9417.9,6952.7,2924.6,1286.5,6628.9,5.374,50.91,1168.6,302,38407.2,24.456,393.96,1804.3,1834.7,182.97,8785.5,28572.05,140.73
