Date,PFBCOLO CB Equity,ECOPETL CB Equity,BCOLO CB Equity,ISA CB Equity,GEB CB Equity,NUTRESA CB Equity,GRUPOARG CB Equity,PFDAVVND CB Equity,GRUPOSUR CB Equity,PFAVAL CB Equity,CEMARGOS CB Equity,CORFICOL CB Equity,PFGRUPSU CB Equity,CELSIA CB Equity,PFGRUPOA CB Equity,GRUPOBOL CB Equity,CNEC CB Equity,BOGOTA CB Equity,PROMIG CB Equity,PFCEMARG CB Equity,TERPEL CB Equity,MINEROS CB Equity,PFCORCOL CB Equity,BVC CB Equity,ETB CB Equity
7-03-2018,31300,2450,31920,13400,2030,26980,19200,29880,38620,1093.49,9640,17676.79,35040,4525,15940,52500,9700,67000,7380,8200,12960,2380,15563.71,11900,414
8-03-2018,31300,2475,32100,13320,2030,26620,19000,30200,38660,1089.03,9640,17783.74,35200,4520,15820,52500,9740,67000,7380,8190,12980,2380,14979.51,11800,414
9-03-2018,31580,2505,32600,13200,2030,26860,19060,30200,38500,1084.56,9710,17829.58,35620,4545,15980,52500,9760,67200,7420,8300,12680,2415,14979.51,11600,419
12-03-2018,31300,2480,32600,13200,2030,26740,18980,29780,38740,1089.03,9700,17799.02,35620,4545,16000,52500,9770,67500,7420,8300,12640,2415,14979.51,11550,415
13-03-2018,30820,2505,32000,13020,2025,26320,19000,29880,38000,1089.03,9460,17569.85,35380,4565,15960,52500,9720,67200,7410,8050,12680,2415,14979.51,11450,415
14-03-2018,30600,2505,31540,12980,2025,26380,18800,30200,37800,1093.49,9470,17554.57,35480,4565,16000,52500,9640,67480,7360,8250,12680,2415,14979.51,11450,420
15-03-2018,30560,2535,31660,12820,2020,26600,18740,30240,37500,1093.49,9800,17569.85,35460,4580,15920,53000,9570,68000,7550,8300,12680,2400,14979.51,11400,416
16-03-2018,31200,2590,32200,12840,2010,26200,19000,30220,38000,1080.1,9750,17569.85,35300,4570,16000,53000,9650,67960,7560,8350,12680,2400,14979.51,11200,416
19-03-2018,31200,2590,32200,12840,2010,26200,19000,30220,38000,1080.1,9750,17569.85,35300,4570,16000,53000,9650,67960,7560,8350,12680,2400,14979.51,11200,416
20-03-2018,30900,2670,31660,12940,2010,26140,19100,30100,37500,1080.1,9750,17585.13,35160,4525,16020,53000,9690,67940,7560,8500,12900,2400,14979.51,11150,414
21-03-2018,30540,2750,31680,13000,2025,26280,19340,29980,37720,1080.1,9750,17875.41,35500,4560,16300,53000,10100,67940,7690,8510,12900,2450,14979.51,11150,410
22-03-2018,30180,2620,31400,13260,2015,26000,19260,29980,37540,1080.1,9530,18242.09,35000,4530,16200,52500,9810,67700,7690,8460,12900,2400,15653.59,11400,400
23-03-2018,29380,2700,30400,13160,2010,25520,19120,29940,37660,1071.17,9400,18028.19,35100,4440,16120,52500,9850,67700,7690,8180,12900,2360,15653.59,11300,401
26-03-2018,30400,2775,30500,13080,2025,25720,19360,29940,37020,1039.93,9680,17890.69,34900,4440,16260,52500,9800,67700,7690,8200,12900,2360,15069.39,11450,403
27-03-2018,29780,2645,29700,13080,2020,25700,19200,30160,36580,1031,9520,18074.03,35000,4475,16100,52500,9450,67700,7690,8300,12900,2400,15069.39,11450,400
