Date,KIMBERA.MF.Equity,GAPB.MF.Equity,CEMEXCPO.MF.Equity,ASURB.MF.Equity,GFNORTEO.MF.Equity,KOFUBL.MF.Equity,ACa.MF.Equity,VOLARA.MF.Equity,LABB.MF.Equity,FEMSAUBD.MF.Equity,OMAB.MF.Equity,GFINBURO.MF.Equity,AMXL.MF.Equity,ALSEAa.MF.Equity,ORBIAa.MF.Equity,PE&OLESa.MF.Equity,GRUMAB.MF.Equity,RA.MF.Equity,WALMEXa.MF.Equity,BOLSAA.MF.Equity,LIVEPOLC.MF.Equity,CUERVOa.MF.Equity,ELEKTRAa.MF.Equity,SITES1.MF.Equity,MEGACPO.MF.Equity,Qa.MF.Equity,GCCa.MF.Equity,BIMBOA.MF.Equity,GMEXICOB.MF.Equity,GCARSOA1.MF.Equity,TLEVICPO.MF.Equity,VESTAa.MF.Equity,ALFAA.MF.Equity,PINFRAa.MF.Equity
7-03-2017,39.25,177.19,16.66,322.79,100.61,133.5,114.61,24.02,22.77,166.98,97.99,29.38,12.95,56.74,51.12,465.61,268.05,107.37,38.88,28.99,141.09,31.18,307.08,11.5,74.29,31.74,87.15,46.95,60.74,91.2,100.01,24.87,21.2,188.04
8-03-2017,39.04,175.64,16.46,322.79,100.78,133.24,116.89,24.11,22.86,169.26,97.18,30.23,13.23,56.53,51.62,450.92,270.8,105.02,39.18,28.93,140.86,31.1,307.51,11.38,74.73,31.3,87.15,46.69,59.72,87.94,100.46,24.93,21.45,188.22
9-03-2017,38.58,175.19,16.5,320.78,100.05,133.87,118.44,24.42,22.85,170.19,95.92,30.12,12.63,57.07,51.57,439.28,266.54,105.8,39.23,28.42,139.26,31.08,308.52,11.46,73.99,31.18,86.99,46.67,59.26,88.12,101.49,24.81,21.34,188.27
10-03-2017,38.39,174.82,16.28,320.22,101.02,133.9,120.29,24.51,23.14,169.02,96.75,30.5,12.31,57.48,50.97,454.26,260.33,106.38,39.02,29.34,140.61,31.44,309,11.29,73.55,31.8,86.31,46.52,59.16,90.94,99.82,24.77,21.58,189.56
13-03-2017,38.25,172.17,16.41,318.89,101.14,133.95,120.24,24.33,22.88,169.31,97.24,29.98,12.37,56.65,51.25,443.08,259.62,105.62,38.84,29.14,138.61,31.46,313.5,11.28,74.91,30.49,85.41,46.32,59.34,88.42,100.14,24.66,21.39,187.65
14-03-2017,38.38,170.18,16.18,315.25,100.71,132.98,119.96,24.09,22.82,167.39,96.47,29.39,12.57,56.75,50.57,455.75,263.18,106.88,39.54,29.44,139.04,31.3,321.05,11.31,74.11,31.29,83.08,45.45,59.31,87.07,101.16,24.62,21.38,187.71
15-03-2017,38.29,169.99,16.46,311.6,100.61,133.94,123.12,24.88,23.26,169.12,95.84,29.77,12.81,56.67,51.06,468.79,265.05,107.06,39.66,29.73,141.09,31.1,334.64,11.21,74.29,31.52,82.49,45.49,59.99,89.09,100.53,24.99,21.39,187.59
16-03-2017,38.65,172.57,16.83,316.8,102.19,134.75,121.64,24.82,23.14,170.5,97.31,30.15,13.09,57.85,51.94,477.78,263.67,108.85,40.59,29.79,144.8,31.41,339.69,11.38,73.97,31.74,82.67,46.29,59.18,87.61,101.93,24.96,21.86,188.7
17-03-2017,39.36,176.23,16.74,321.24,104.66,135,123.53,24.59,24.04,171.84,97.9,29.71,13.42,59.94,51.75,477.57,261.91,109.61,41.77,29.96,146.55,31.68,371.37,11.45,75.62,31.59,82.46,47.32,59.3,87.65,100.83,24.97,22.11,195.65
20-03-2017,39.36,176.23,16.74,321.24,104.66,135,123.53,24.59,24.04,171.84,97.9,29.71,13.42,59.94,51.75,477.57,261.91,109.61,41.77,29.96,146.55,31.68,371.37,11.45,75.62,31.59,82.46,47.32,59.3,87.65,100.83,24.97,22.11,195.65
21-03-2017,39.97,176.31,16.26,314.63,105.43,139.84,122.53,24.62,23.99,171.84,97.45,30,13.57,62.15,50.99,485.19,259.67,110.79,42.24,30.4,149.95,32.41,370.86,11.36,75.3,31.71,82.48,46.73,58.89,90.6,99.89,25,21.87,191.58
